"","block.address","Vacant_Pr","Occupied_Pr","NumofBuilding","SURA","Units","YearBuilt","AssessedVa","Aggravated.assault","Arson","Burglary","Larceny","Murder","Robbery","Vehicle.theft","Total"
"0 block brattle rd","0 block brattle rd",0.0769230769230769,0.923076923076923,13,0,1,1914.07692307692,249707.692307692,0,0,13,0,0,0,0,13
"0 block burlingame rd","0 block burlingame rd",0,1,1,0,1,1930,290000,0,0,0,0,0,0,0,0
"0 block cadwell pl","0 block cadwell pl",0,1,2,2,1,1925,31800,0,0,0,0,0,0,0,0
"0 block carlton rd","0 block carlton rd",0,1,1,0,1,1970,128000,0,0,0,0,0,0,0,0
"0 block crawford av","0 block crawford av",0,1,1,0,1,1992,142000,0,0,0,1,0,0,0,1
"0 block elmhurst av","0 block elmhurst av",0,1,2,2,1,1943.5,43250,0,0,2,0,0,0,0,2
"0 block fitch st","0 block fitch st",0,1,1,1,1,1900,29900,0,0,0,0,0,0,0,0
"0 block kingsley pl","0 block kingsley pl",0,1,10,10,1.1,1912.5,42280,0,0,0,10,0,0,0,10
"0 block macdougall pl","0 block macdougall pl",0,1,1,0,12,1965,250000,0,0,0,0,0,0,0,0
"0 block moore av","0 block moore av",0,1,1,0,1,1950,70000,0,0,0,0,0,0,0,0
"0 block robincroft rd","0 block robincroft rd",0,1,2,2,1,1952,64250,0,0,0,2,0,0,0,2
"0 block roycroft rd","0 block roycroft rd",0,1,2,0,1,1958.5,70500,0,0,0,0,0,0,0,0
"0 block wellesley rd","0 block wellesley rd",0,1,1,0,1,1916,120000,0,0,0,1,0,0,0,1
"100 block aberdeen terr","100 block aberdeen terr",0,1,20,0,1,1933.9,72280,0,0,0,0,0,0,0,0
"100 block academy green","100 block academy green",0.25,0.75,12,0,1.16666666666667,1919.16666666667,86450,0,0,0,0,0,0,0,0
"100 block academy pl","100 block academy pl",0.0555555555555556,0.944444444444444,18,0,1,1955,65066.6666666667,0,0,0,0,0,0,0,0
"100 block academy st","100 block academy st",0,1,2,0,1,1953.5,68500,0,0,0,0,0,0,0,0
"100 block acorn path","100 block acorn path",0,1,1,0,1,1984,174500,0,0,0,0,0,0,0,0
"100 block alanson rd","100 block alanson rd",0.125,0.875,16,0,1,1954.1875,107975,0,0,0,0,0,0,0,0
"100 block alden st","100 block alden st",0,1,18,0,1,1946.61111111111,67788.8888888889,0,0,0,0,0,0,0,0
"100 block alexander av","100 block alexander av",0.333333333333333,0.666666666666667,6,6,1.16666666666667,1925.83333333333,27533.3333333333,0,0,0,6,0,0,0,6
"100 block alton st","100 block alton st",0.2,0.8,5,0,1,1960.6,158220,0,0,5,0,0,0,0,5
"100 block alvord st s","100 block alvord st s",0,1,11,11,1,1899,38627.2727272727,0,0,0,0,0,0,0,0
"100 block ames av","100 block ames av",0,1,5,5,1,1924,59320,0,0,0,0,0,0,0,0
"100 block amherst av","100 block amherst av",0,1,12,12,1.08333333333333,1921.25,39908.3333333333,12,0,0,0,0,0,0,12
"100 block amy st","100 block amy st",0,1,2,2,1.5,1907,31500,0,0,0,0,0,0,0,0
"100 block anderson av","100 block anderson av",0.0333333333333333,0.966666666666667,30,30,1.16666666666667,1948.66666666667,55266.6666666667,0,0,0,30,0,0,0,30
"100 block annetta st","100 block annetta st",0.1,0.9,20,20,1.2,1922.45,50595,0,0,20,0,0,0,0,20
"100 block arch st","100 block arch st",0,1,12,0,1.08333333333333,1932.25,57491.6666666667,0,0,0,0,0,0,0,0
"100 block archer rd","100 block archer rd",0,1,16,0,1,1950.0625,93756.25,0,0,0,16,0,0,0,16
"100 block arden dr","100 block arden dr",0.2,0.8,5,0,1,1930.6,102080,0,0,0,0,0,0,0,0
"100 block ardmore pl","100 block ardmore pl",0,1,8,0,1.125,1929.625,59200,0,0,0,0,0,0,0,0
"100 block argonne dr","100 block argonne dr",0,1,6,0,1,1943.66666666667,86316.6666666667,0,0,0,0,0,0,0,0
"100 block arlington av","100 block arlington av",0,1,7,0,1.57142857142857,1920,90171.4285714286,0,0,0,0,0,0,0,0
"100 block armstrong pl","100 block armstrong pl",0,1,10,10,1.7,1958.4,65390,10,0,0,20,0,0,0,30
"100 block arnett st","100 block arnett st",0,1,2,0,2,1937.5,71400,0,0,0,0,0,0,0,0
"100 block arnts pl","100 block arnts pl",0,1,15,0,1.13333333333333,1955.86666666667,67440,0,0,0,15,0,0,0,15
"100 block arsenal dr","100 block arsenal dr",0.133333333333333,0.866666666666667,15,0,1,1921.13333333333,53900,0,0,15,0,0,0,0,15
"100 block ash st","100 block ash st",0,1,1,1,2,1880,37200,0,0,0,1,0,0,0,1
"100 block ashdale av","100 block ashdale av",0.0416666666666667,0.958333333333333,24,0,1.70833333333333,1927.20833333333,67845.8333333333,0,0,0,0,0,0,0,0
"100 block ashworth pl","100 block ashworth pl",0,1,11,11,1.72727272727273,1922.27272727273,46909.0909090909,0,0,0,0,0,0,0,0
"100 block atkinson av","100 block atkinson av",0,1,17,0,1,1941.82352941176,68700,0,0,0,0,0,0,0,0
"100 block austin av","100 block austin av",0,1,20,0,1.1,1947.95,78100,0,0,0,0,0,0,0,0
"100 block avoca st","100 block avoca st",0.0833333333333333,0.916666666666667,12,0,1.33333333333333,1888.66666666667,67491.6666666667,0,0,0,0,0,0,0,0
"100 block avon rd","100 block avon rd",0.0833333333333333,0.916666666666667,12,0,1,1937.16666666667,61833.3333333333,0,0,0,12,0,0,0,12
"100 block avondale pl","100 block avondale pl",0,1,15,0,1.33333333333333,1923.33333333333,84740,0,0,30,0,0,0,0,30
"100 block avry av","100 block avry av",0,1,13,0,1.46153846153846,1920.84615384615,75607.6923076923,0,0,0,0,0,0,0,0
"100 block avry av s","100 block avry av s",0,1,4,0,1,1911,70925,0,0,0,0,0,0,0,0
"100 block baker av","100 block baker av",0.333333333333333,0.666666666666667,9,9,1.55555555555556,1925.77777777778,36888.8888888889,0,0,0,0,0,0,0,0
"100 block baldwin av","100 block baldwin av",0.1,0.9,30,30,1.13333333333333,1921.36666666667,37453.3333333333,0,0,0,30,0,0,0,30
"100 block ballantyne rd","100 block ballantyne rd",0,1,8,8,19.5,1961.375,305150,24,0,8,32,0,8,0,72
"100 block ballard av","100 block ballard av",0,1,8,8,1.5,1944.375,43537.5,0,0,0,16,0,0,0,16
"100 block barnes av","100 block barnes av",0,1,4,4,1.25,1921.75,51250,0,0,0,0,0,0,0,0
"100 block barrett st","100 block barrett st",0.333333333333333,0.666666666666667,3,3,1.33333333333333,1911.66666666667,21666.6666666667,0,0,0,0,0,0,0,0
"100 block barrington rd","100 block barrington rd",0,1,6,0,1,1958.33333333333,94833.3333333333,0,0,0,0,0,0,0,0
"100 block bassett st","100 block bassett st",0,1,12,0,1.5,1913.08333333333,55441.6666666667,0,0,0,0,0,0,0,0
"100 block beard av e","100 block beard av e",0.333333333333333,0.666666666666667,9,9,1.33333333333333,1919.33333333333,31444.4444444444,0,0,0,9,0,0,0,9
"100 block beard av w","100 block beard av w",0.166666666666667,0.833333333333333,12,12,2.08333333333333,1905.58333333333,67333.3333333333,0,0,12,0,0,0,0,12
"100 block beard pl","100 block beard pl",0.5,0.5,4,4,1.75,1915,25250,0,0,0,0,0,0,0,0
"100 block beattie st","100 block beattie st",0,1,7,7,1,1938,50671.4285714286,0,0,7,7,0,0,7,21
"100 block beaumont pl","100 block beaumont pl",0,1,2,0,1,1955,84250,0,0,0,0,0,0,0,0
"100 block becker st","100 block becker st",0,1,9,9,1.11111111111111,1942.77777777778,61966.6666666667,0,0,18,0,0,0,0,18
"100 block beecher st","100 block beecher st",0.294117647058824,0.705882352941176,17,17,1.11764705882353,1900.58823529412,39388.2352941177,0,0,17,0,0,0,0,17
"100 block bellaire pl","100 block bellaire pl",0,1,8,8,1.5,1928.375,50125,0,0,0,0,0,0,0,0
"100 block belle av","100 block belle av",0.107142857142857,0.892857142857143,28,28,1.25,1928.96428571429,46125,0,0,0,0,0,0,0,0
"100 block bellevue av","100 block bellevue av",0,1,4,4,1.25,1905.5,32050,0,0,0,4,0,4,0,8
"100 block bellshire lane","100 block bellshire lane",0,1,1,0,1,1970,129000,0,0,0,0,0,0,0,0
"100 block bellshire ln","100 block bellshire ln",0,1,9,0,1,1962.66666666667,92588.8888888889,0,0,0,0,0,0,0,0
"100 block benedict av","100 block benedict av",0.09375,0.90625,32,0,1,1945.875,45409.375,0,0,32,32,0,0,0,64
"100 block bennington dr","100 block bennington dr",0,1,12,12,1.25,1928.5,59633.3333333333,0,0,0,0,0,0,0,0
"100 block berger av","100 block berger av",0.119047619047619,0.880952380952381,42,42,1.04761904761905,1916.5,34842.8571428571,0,0,0,42,0,0,42,84
"100 block berkeley dr","100 block berkeley dr",0,1,11,0,1,1921.36363636364,172363.636363636,0,0,0,11,0,0,0,11
